No;Pertanyaan;Fakta;Dokumen;Keluaran System;TP;TN;FP;FN
147;kapan penyerbuan polandia;01-Sep-39;"1 September 1939;6 Oktober 1939;1 September 1939;6 Oktober 1939;31 Agustus 1939;17 September 1939;3 September 1939;1 September 1939;10 Juni 2022;1 September 1939;17 September 1939;6 Oktober 1939;1 September 1939;17 September 1939;1 September 1939;27 September 1939;3 September 1939;17 September 1939;1 September 2021;1 September 1939;1 September 1939;1 September 1939;1 September 1939;3 September 1939;27 September 1939;29 September 1939;26 Agustus 1883;23 Juni 2022;22 Juni 2022;1 September 1939;6 Oktober 1939;1 September 1939;6 Oktober 1939;31 Agustus 1939;17 September 1939;3 September 1939;1 September 1939;8 Oktober 1939;1 September 1939;12 Maret 1938;1 Oktober 1938;1 September 1939;3 September 1939;27 September 1939;17 September 1939;8 Oktober 1939;22 Juni 1941;23 Agustus 1942;1 September 1939;31 Agustus 1939;23 Agustus 1939;7 Desember 1941;11 Desember 1941;1 September 1939;1 September 1983;24 Juni 1932;24 Juni 2022;24 Juni 1932;31 Agustus 2009;1 September 1939;1 September 1939;3 September 1939;22 Juni 1941;23 Juni 2022;1 September 1939;6 Oktober 1939;1 September 1939;6 Oktober 1939;31 Agustus 1939;17 September 1939;3 September 1939;1 September 1939;1 September 1939;6 Oktober 1939;1 September 1939;6 Oktober 1939;31 Agustus 1939;17 September 1939;3 September 1939;1 September 1939;1 September 1939;1 September 1939;2 Oktober 1939;3 November 1939;4 Desember 1939;23 Agustus 1939";01-Sep-39;1;0;0;0
148;kapan Universitas Gadjah Mada dibangun?;19 Desember 1949;"16 Desember 1949;19 Desember 1949;19 Desember 1949;16 Desember 1949;3 Maret 1946;4 Januari 1946;5 Maret 1946;20 September 1946;27 September 1946;27 September 1946;1 September 1945;1 November 1948;20 Mei 1949;1 November 1949;2 November 1949;3 Desember 1949;19 Desember 1949;18 Agustus 1967;8 Januari 1965;19 Desember 1949;13 Mei 1985;31 Maret 1991;27 April 2000;27 April 2000;18 Desember 1958;16 September 2018;11 Juni 2022;19 Desember 1949;19 Desember 1949;19 Desember 1949;19 Desember 1949;19 Desember 2021;24 Juni 2022;24 Januari 1946;3 Maret 1946;19 Desember 1949;19 Desember 2021;16 Desember 1949;14 Agustus 1950;19 Juli 1952;19 Desember 1949;19 Desember 1949;16 Desember 1949;3 Maret 1946;4 Januari 1946;5 Maret 1946;20 September 1946;27 September 1946;27 September 1946;1 September 1945;1 November 1948;20 Mei 1949;1 November 1949;2 November 1949;3 Desember 1949;19 Desember 1949;18 Agustus 1967;8 Januari 1965;19 Desember 1949;13 Mei 1985;31 Maret 1991;27 April 2000;27 april 2000;18 Desember 1958;16 Juni 2022;16 Desember 1949;16 Desember 1949;19 Desember 1949;01 April 2020;01 April 2020;01 April 2020;01 April 2020;01 April 2020;19 Desember 1949;16 Desember 1949";19 Desember 1949;1;0;0;0
149;Kapan Uni Soviet menduduki Negara-negara Baltik?;14 Juni 1940;"14 Juni 1940;22 Juni 1941;10 November 2021;30 September 2015;27 Juni 2021;14 Juni 1940;22 Juni 1941;23 Agustus 1989;24 Juni 2022;05 Januari 2022;23 Agustus 1989;24 Agustus 1939;31 Agustus 1989;24 Desember 1989;11 Maret 1990;20 Agustus 1991;21 Agustus 1991;14 Juni 1986;23 Agustus 1987;26 Januari 2020;22 Juni 1941;22 Juni 2022;22 Juni 1941;22 Juni 1941;22 Juni 2022;22 Juni 1941;22 Juni 1941;4 Mei 1990;4 Mei 1990;04 Mei 2022;04 Mei 2022;18 November 1918;4 Mei 1990;20 Juni 1837;19 Juni 1970;18 Juni 2019;17 Juni 2017;4 Mei 1990;29 Maret 2004;24 Juni 1932;24 Juni 2022;24 Juni 1932;24 Juni 2022";22 Juni 1941;0;1;0;0
150;Kapan Perang Musim Dingin di Finlandia terjadi?;30-Nov-39;"30 November 1939;13 Maret 1940;30 November 1939;30 November 1939;13 maret 1940;5 April 2022;30 November 1939;30 November 1939;13 maret 1940;30 November 1939;30 November 1939;30 November 1939;30 November 1939;30 November 1939;30 November 2021;26 November 1939;28 November 1939;30 November 1939;30 November 1939;12 Maret 1940;30 November 1939;1 April 1944;24 Juni 1932;24 Juni 2022;24 Juni 1932;24 Juni 2022;30 November 1939;13 Maret 1940;30 November 1939;13 Maret 1940;30 November 1939;30 November 1939;13 maret 1940;30 November 1939;30 November 1939;30 November 1939;16 Mei 2022;21 Mei 2022;20 Mei 2022;17 Mei 2022;15 Mei 2022;24 Juni 2022;24 Juni 2022;24 Juni 2022;24 Juni 2022;21 Juni 2022;21 Juni 2022;21 Juni 2022;23 Juni 2022;23 Juni 2022;29 Maret 1809;6 Desember 1917;4 Januari 1918;1 Januari 1995;3 Januari 1918;1 Januari 1999;5 November 2010;7 November 2010";30-Nov-39;1;0;0;0
151;Kapan wanna one disband?;31 Desember 2018;"7 Agustus 2017;31 Desember 2018;27 Januari 2019;16 Juni 2017;9 September 2017;2 Juli 2017;7 Agustus 2017;8 Agustus 2017;30 Oktober 2018;19 November 2018;18 Desember 2018;31 Desember 2018;27 Januari 2019;18 April 2017;13 September 2007;11 September 2017;10 Juni 2022;31 Desember 2018;31 Desember 2018;28 November 2021;16 Juni 2017;7 Agustus 2017;18 November 2018;24 Juni 2022;31 Desember 2018;31 Desember 2018;31 Desember 2018;31 Desember 2018;31 Desember 2018;16 Juni 2017;28 Januari 2019;22 Juni 2022;21 Juni 2022;01 Januari 2019;7 Agustus 2017;7 Agustus 2017;31 Desember 2018;27 Juli 2018;31 Desember 2018;31 Desember 2018;27 Januari 2022;27 Januari 2022;27 Januari 2022;7 Agustus 2017;27 Januari 2019;27 Januari 2022;27 januari 2019;27 Januari 2019";31 Desember 2018;1;0;0;0
152;Kapan SNSD dibentuk?;16 Juli 2007;"30 September 2014;16 Juli 2007;5 Agustus 2007;15 Maret 2008;17 Maret 2008;13 April 2008;1 Desember 2008;26 Desember 2008;22 Juni 2009;29 Juni 2009;26 Juni 2009;10 Juli 2009;12 Juli 2009;15 Agustus 2009;11 Maret 2010;20 Oktober 2010;27 Oktober 2010;22 Desember 2010;9 Desember 2010;15 Desember 2010;25 Januari 2011;25 Januari 2011;12 Maret 2011;1 Juni 2011;14 Juni 2011;8 Juli 2011;26 September 2011;1 Oktober 2011;5 Oktober 2011;19 Oktober 2011;23 Oktober 2011;19 November 2011;13 Desember 2011;7 Desember 2011;28 Desember 2011;12 Januari 2012;19 Januari 2012;13 Maret 2012;23 Maret 2012;20 Mei 2012;29 Mei 2012;14 Juni 2012;27 Juni 2012;3 Juli 2012;10 Agustus 2012;26 September 2012;4 September 2012;14 September 2012;28 November 2012;21 November 2012;16 Oktober 2012;18 Oktober 2012;31 Oktober 2012;30 November 2012;16 November 2012;11 Desember 2012;20 Desember 2012;21 Desember 2012;1 Januari 2013;1 Januari 2013;5 Januari 2013;20 Maret 2013;11 April 2013;26 April 2013;9 Juni 2013;19 Juni 2013;18 September 2013;5 November 2013;11 Desember 2013;22 Desember 2013;30 September 2014;9 Desember 2014;22 April 2015;1 Agustus 2015;12 Agustus 2015;9 Maret 1989;15 Mei 1989;1 Agustus 1989;22 September 1989;5 Desember 1989;30 Mei 1990;28 Juni 1991;18 April 1989;29 April 2012;1 Maret 2011;7 Maret 2012;9 Agustus 2011;17 September 2011;27 September 2011;17 Agustus 2012;30 November 2011;30 November 2011;30 September 2014;30 September 2014;25 November 2012;17 November 2012;17 November 2010;25 November 2012;2 Oktober 2011;31 Desember 2010;1 Mei 2012;1 Mei 2012;15 April 2012;1 Agustus 2007;30 November 2007;15 Juni 2010;15 April 2012;25 Desember 2012;24 Mei 2010;30 September 2008;3 Oktober 2008;29 Desember 2008;5 Januari 2009;7 Januari 2009;7 Januari 2009;23 Juni 2009;20 Mei 2010;17 Juni 2009;17 Juni 2009;16 Oktober 2009;16 Oktober 2009;11 November 2009;29 November 2009;24 November 2009;29 November 2009;12 Januari 2010;11 Januari 2010;15 Januari 2011;23 Juni 2011;18 Januari 2011;18 Januari 2011;20 Januari 2011;21 Januari 2011;26 April 2011;23 Juni 2011;8 Maret 2011;8 Maret 2011;13 Juli 2011;16 Mei 2011;13 Juli 2011;13 Juli 2011;13 Juli 2011;23 Juni 2011;2 Oktober 2011;2 Oktober 2011;2 Oktober 2011;2 Oktober 2011;24 April 2012;3 April 2012;25 April 2012;19 September 2013;29 November 2013;13 September 2013;20 September 2013;19 September 2013;19 September 2013;25 September 2013;4 November 2013;6 November 2013;4 November 2013;5 November 2013;22 November 2013;29 November 2013;6 Maret 2016;11 Juni 2010;20 Mei 2012;25 Oktober 2010;11 Desember 2012;4 Januari 2013;17 September 2013;29 November 2013;29 November 2013;26 Januari 2010;26 Januari 2010;27 November 2011;5 Desember 2011;26 November 2012;1 November 2012;2 November 2012;27 Desember 2012;27 Desember 2012;3 Juli 2011;16 Juni 2011;16 November 2011;26 November 2012;26 April 2010;26 November 2012;15 Januari 2011;26 November 2012;26 November 2012;21 Maret 2009;26 November 2012;16 Juni 2011;16 Juni 2011;21 Maret 2011;25 November 2012;10 Agustus 2011;27 Agustus 2012;17 September 2011;8 Juli 2012;9 April 2012;8 Juli 2012;16 Agustus 2012;17 Agustus 2012;14 Juni 2022;1 November 2007;5 November 2013;10 Desember 2013;20 Januari 2020;16 Juli 2007;16 Juli 2007;16 Juli 2007;18 Juli 2007;16 Juli 2007;28 Januari 2010;5 Mei 2018;16 Juli 2007;18 Juli 2007;22 Juni 2009;25 Januari 2011;12 Maret 2011;9 Maret 1989;18 April 1989;22 September 1989;5 Desember 1989;28 Juni 1991;30 Mei 1990;1 Agustus 1989;15 Mei 1989;13 September 2007;10 November 2007;4 Maret 2008;11 Maret 2008;7 April 2008;8 Mei 2008;1 Agustus 2008;30 Maret 2009;15 April 2009;9 Mei 2009;18 Januari 2010;1 November 2007;17 Maret 2008;28 Januari 2010;22 Maret 2010;7 Januari 2009;29 Juni 2009;25 Oktober 2010;5 Agustus 2007;29 September 2014;5 Agustus 2007;2 Agustus 2007;16 Juli 2007";16 Juli 2007;1;0;0;0
153;Kapan Pertempuran Selat Badung terjadi?;19 Februari 1942;"6 Oktober 1944;10 November 1944;23 April 1945;8 Juni 1945;1 Maret 1942;19 Januari 2022;6 Oktober 1944;10 November 1944;23 April 1945;8 Juni 1945;1 Maret 1942;27 Mei 1904;29 Mei 1904;27 Mei 1904;9 Januari 1905;17 Juli 1906;1 September 1906;4 September 1906;12 September 1906;14 September 1906;15 September 1906;16 September 1906;17 September 1906;18 September 1906;18 September 1906;20 September 1906;20 September 1906;20 September 1906;1 Maret 1942;6 Oktober 1944;10 November 1944;23 April 1945;8 Juni 1945;1 Maret 1942;23 Juni 1972;23 Juni 2022";01 Maret 1942;0;1;0;0
154;Kapan timor leste merdeka?;28-Nov-75;"20 Mei 2022;26 Januari 2016;20 Mei 2002;30 Agustus 1999;5 Mei 1999;11 Juni 1999;4 Agustus 1999;27 Agustus 1999;30 Agustus 1999;4 September 1999;20 Mei 2002;13 Juni 2022;28 November 1975;28 November 1975;28 November 1975;28 November 2021;28 November 1975;20 Mei 2002;30 Agustus 1999;28 November 1975;20 Mei 2002;30 Agustus 1999;29 Maret 1943;24 Juni 1987;30 Agustus 1999;17 Juli 1976;28 November 1975;17 Agustus 1945;28 November 1975;7 Desember 1975;5 Mei 1999;11 Juni 1999;30 Agustus 1999;24 Juni 2022;17 Juli 2021;7 Desember 1975;23 Juni 2022";28-Nov-75;1;0;0;0
155;Kapan pertempuran selat sunda berakhir?;1 Maret 1942;"1 Maret 1942;1 Maret 1942;1 November 1947;24 Juni 1987;1 Maret 1942;6 Oktober 1944;10 November 1944;23 April 1945;8 Juni 1945;1 Maret 1942;19 Januari 2022;23 Juni 1972;1 Maret 1942;1 Maret 2019;8 Mei 2022;13 Mei 2022;25 April 2022;1 April 2022;20 Desember 2021;26 Januari 2022;1 Maret 1942;1 Maret 1942;24 Juni 2022;7 September 1929;24 Juni 2022;24 Juni 2022;24 Juni 2022;22 Juni 2022;23 Juni 2022;23 Juni 2022;1 Maret 1942;2 Agustus 1990;28 Agustus 1990;1 Maret 1942;1 Juli 1931;1 Juli 1934;15 Mei 1935;28 Mei 1937;14 Juli 1938;9 Agustus 1938;19 September 1938;7 Desember 1939;28 Desember 1941;7 September 1929;1 Maret 1942;25 Januari 1794;5 Mei 1794;2 Januari 1794;27 September 1793;2 Januari 1794";1 Maret 1942;1;0;0;0
156;Kapan indofood didirikan;14 Agustus 1990;"14 Agustus 1990;14 Juli 1994;14 Agustus 1990;14 Agustus 1990;14 Juli 1994;11 Agustus 1999;11 Juli 1997;24 Juni 2004;7 Oktober 2010;9 Juni 2011;27 September 2019;10 Oktober 2019;18 Agustus 2021;20 Agustus 2014;15 Desember 1994;29 Maret 1999;15 September 1999;9 September 2005;31 Desember 2009;17 Desember 1992;15 Oktober 2009;31 Desember 2009;12 Agustus 1985;31 Desember 2009;31 Desember 2009;19 Juni 2022;02 September 2009;1 Oktober 2009;24 September 2010;07 Oktober 2010;20 Mei 2022;14 Agustus 1990;18 Agustus 2021;14 Agustus 1990;15 November 1990;20 Juni 1991;12 Juli 1991;5 Agustus 1991;12 Juli 1991;15 Juni 2009";14 Agustus 1990;1;0;0;0
157;Kapan mayora indah didirikan?;17 Februari 1977;"25 Mei 1990;04 Juli 1990;4 Juli 1990;4 Juli 1990;4 Juli 1990;3 januari 1978;4 Juli 1990;24 Maret 2022";4 Juli 1990;0;1;0;0
158;Kapan gus dur meninggal?;30 Desember 2009;"20 Oktober 1999;23 Juli 2001;7 September 1940;30 Desember 2009;7 September 1940;30 Desember 2009;20 Oktober 1999;23 Juli 2001;7 September 1940;17 Agustus 1945;2 Mei 1982;6 Mei 1982;19 Mei 1998;21 Mei 1998;7 Oktober 1999;19 Oktober 1999;20 Oktober 1999;21 Oktober 1999;17 Agustus 2000;24 Desember 2000;27 Januari 2001;1 Juli 2001;15 Agustus 2001;14 Januari 2002;5 Juli 2004;30 Desember 2009;10 Maret 2004;21 Juli 2010;11 Agustus 2006;30 Desember 2009;30 Desember 2009;14 Oktober 2018;19 Juni 2008;19 Juni 2008;14 April 2000;30 Desember 2006;12 November 1999;25 Juni 2009;20 Oktober 2000;25 Juni 2009;5 Oktober 2009;17 Maret 2001;5 Oktober 2009;1 Juni 2001;5 Oktober 2009;23 Juli 2001;5 Oktober 2009;23 Juli 2001;5 Oktober 2009;27 Juli 2001;5 Oktober 2009;30 Desember 2009;19 Juni 2008;19 Juni 2008;22 Juli 2010;19 Juni 2008;22 November 2009;14 Oktober 2018;26 Juni 2003;16 Juni 2022;7 September 1940;30 Desember 2009;20 Oktober 1999;23 Juli 2001;28 April 1937;30 Desember 2006;16 Juli 1979;9 April 2003;30 Desember 2006;11 September 1917;28 September 1989;30 Desember 1922;30 Desember 2009;7 September 1940;20 Oktober 1999;23 Juli 2001;9 Mei 2022;10 Mei 2022;9 Mei 2022;9 Mei 2022;10 Mei 2022;9 Mei 2022";30 Desember 2009;1;0;0;0
159;Kapan Hasri Ainun Besari meninggal?;22 Mei 2010;"22 Mei 2010;24 Maret 2010;11 Agustus 1937;12 Mei 1962;20 Juni 1934;7 Juni 1999;22 Mei 2010;13 Mei 1998;20 Oktober 1999;11 Maret 1998;21 Mei 1998;11 Agustus 1937;22 Mei 2010;11 Agustus 1937;22 Mei 2010;17 Juni 1906;13 April 2005;12 Mei 1962;24 Maret 2010;22 Mei 2010;24 Mei 2010;25 Mei 2010;7 Januari 2020;10 September 2018;1 Juli 2022;22 Mei 2010;25 Juni 1936";22 Mei 2010;1;0;0;0
160;Kapan masa kepemimpinan trump berakhir?;11 Januari 2021;"20 Januari 2021;19 Januari 2021;20 Januari 2021;3 November 2020;6 Desember 2020;4 November 2020;22 Desember 2020;11 Juni 2018;20 Januari 2021;15 Juli 2020;7 Januari 2020;10 November 2019;8 Oktober 2019;29 September 2019;8 September 2019;12 Juli 2019;3 Mei 2019;30 April 2019;11 Januari 2021;11 Januari 2021;11 Januari 2021;11 Januari 2021;11 Januari 2021;11 Januari 2021;20 Januari 2021;11 Januari 2021;24 Juni 1932;24 Juni 2022;24 Juni 2022;20 Januari 2017;20 Januari 2017;21 Januari 2017;20 Januari 2017;9 Juli 2021;12 Januari 2021;12 Januari 2021;11 Januari 2021;9 Januari 2021;23 Juni 2022;22 Juni 2022;22 Juni 2022;19 Juni 2022;22 Juni 2022;21 Juni 2022;21 Juni 2022;22 Juni 2022;21 Juni 2022;21 Juni 2022";11 Januari 2021;1;0;0;0
161;Kapan sbmptn 2022 ditutup?;15-Apr-22;"15 April 2022;17 Maret 2022;01 Desember 2021;15 April 2022;15 April 2022;23 Mei 2022;03 Juni 2022;23 Juni 2022;31 Juli 2022;15 April 2022;25 Juni 2022;25 Juni 2022;24 Juni 2022;17 Mei 2022;17 Mei 2022;1 Juli 2022;23 Juni 2022;15 April 2022;1 Juli 2022;15 April 2022;15 April 2022;1 Juli 2022;1 Juli 2022";15-Apr-22;1;0;0;0
162;Kapan bom bali terjadi?;12 Oktober 2002;"12 Oktober 2002;12 Oktober 2002;9 November 2005;17 September 2009;9 Maret 2010;10 Desember 2020;12 Oktober 2002;16 Oktober 2002;20 Oktober 2002;29 Oktober 2002;30 Oktober 2002;4 November 2002;5 November 2002;6 November 2002;7 November 2002;8 November 2002;9 November 2002;10 November 2002;11 November 2002;17 November 2002;26 November 2002;1 Desember 2002;3 Desember 2002;4 Desember 2002;16 Desember 2002;18 Desember 2002;6 Januari 2003;16 Januari 2003;12 Mei 2003;2 Juni 2003;30 Juni 2003;7 Juli 2003;28 Juli 2003;10 September 2003;28 Agustus 2003;2 Oktober 2003;30 Januari 2007;30 Januari 2008;1 Mei 2008;21 Oktober 2008;9 November 2008;11 September 2001;3 September 2010;1 April 2022;1 Oktober 2005;1 Oktober 2005;12 Oktober 2002;12 Oktober 2002;24 Juni 1932;12 Oktober 2002;12 Oktober 2002;23 Juni 2022";12 Oktober 2002;1;0;0;0
163;Kapan tragedi bintaro terjadi?;19 Oktober 1987;"19 Oktober 1987;19 Oktober 1987;19 Oktober 1987;19 Oktober 1987;19 Oktober 1987;19 oktober 1987;19 Oktober 1987;19 Oktober 1987;19 Oktober 1987;19 Oktober 1987;21 Oktober 1987;20 Oktober 1987;19 oktober 1987;9 Desember 2013;19 Oktober 1987;19 Oktober 1987;20 Oktober 1987;20 Oktober 1987;19 Oktober 1987;19 Oktober 1987;11 Desember 2013;19 Oktober 1987;22 Agustus 1988;7 Juni 2013;17 Juni 2022;19 Oktober 1987;19 Oktober 2021;19 Oktober 2021;19 Oktober 2021;19 Oktober 2021;19 Oktober 2021;19 Oktober 2021;19 Oktober 2021;30 Juni 2022;1 Juli 2022;19 Oktober 1987;19 Oktober 1987;19 Oktober 1987;19 Oktober 1987;19 Oktober 1987;19 Oktober 1987;19 Oktober 1987;19 Oktober 1987;19 Oktober 1987;23 Juni 2022;23 Juni 2022;23 Juni 2022";19 Oktober 1987;1;0;0;0
164;Kapan tragedi paiton terjadi?;8 Oktober 2003;"18 Juni 2022;8 Oktober 2003;8 Oktober 2003;8 Oktober 2003;8 Oktober 2003;8 Oktober 2003;18 Juni 2022;8 Oktober 2003;8 Oktober 2003;01 April 2020;01 April 2020;01 April 2020;01 April 2020;01 April 2020;17 Juni 2022;8 Oktober 2003;23 Juni 2022;23 Juni 2022;23 Juni 2022;22 Juni 2022;21 Juni 2022;21 Juni 2022;18 Juni 2022;18 Juni 2022;18 Juni 2022;18 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;22 Juni 2022;22 Juni 2022;22 Juni 2022;22 Juni 2022;22 Juni 2022;21 Juni 2022;21 Juni 2022;21 Juni 2022;21 Juni 2022;21 Juni 2022;21 Juni 2022;8 Oktober 2003";8 Oktober 2003;1;0;0;0
165;Kapan monumen nasional didirikan?;12 Juli 1975;"17 Agustus 1961;12 Juli 1975;17 Agustus 1961;18 Maret 1972;12 Juli 1975;18 Agustus 1971;17 September 1954;30 Agustus 1959;17 Agustus 1961;21 Juni 2021;18 Maret 1972;10 Juni 1974;12 Juli 1975;23 Mei 2021;16 Juli 2020;26 Agustus 1978;20 Juni 2020;28 Juni 2021;20 September 2018;18 Agustus 1971;8 April 1970;27 Juli 1970;19 Juli 1965;3 Desember 1978;19 Januari 2020;5 Januari 2020;14 Mei 2021;11 Mei 2021;23 Juni 2022;8 Juni 2022;21 Juni 2021;21 Juni 2021;23 Juni 2022;22 Juni 2022;21 Juni 2022;21 Juni 2022;20 Juni 2022;17 Juni 2022;15 Juni 2022;17 Agustus 1961;12 Juli 1975;12 Juli 1975;12 Juli 1975;17 Agustus 1995;17 Agustus 2005;17 Agustus 2015;17 Agustus 1961;12 Juli 1975;18 Agustus 1971;17 Agustus 1954;17 Agustus 1945;17 Agustus 1961;17 Agustus 1961;12 Juli 1975;17 Agustus 1945;17 Agustus 1945;9 Maret 2008;14 Juni 2022;17 Agustus 1961;10 Mei 1960;18 Maret 1972;10 Juni 1974;12 Juli 1975;17 Agustus 1945;17 Agustus 1961;12 Juli 1975;10 Mei 1960;12 Juli 1975;12 Juli 1975;12 Juli 2021;17 Agustus 1961;12 Juli 1975;17 September 1954;12 Juli 1975;7 Juli 1937;4 Juli 1927;17 Agustus 1954;17 Agustus 1945;17 Agustus 1961;17 Agustus 1945;17 Agustus 1961;12 Juli 1975;17 Agustus 1961;12 Juli 1975;12 Juli 1975;17 Agustus 1961;12 Juli 1975;17 Agustus 1954;17 Agustus 1945;17 Agustus 1961;17 Agustus 1961;30 September 1965;12 Juli 1975;17 Agustus 1945;17 Agustus 1945;13 Agustus 2020;17 Agustus 1961;10 Mei 1960;12 Juli 1975;5 April 2022;27 Maret 2022;16 Maret 2022;6 Maret 2022;4 Januari 2022;16 Oktober 2022;20 Juni 1934;18 Juni 2022;18 Juni 2022;18 Juni 2022";12 Juli 1975;1;0;0;0
166;Kapan deddy corbuzier mualaf?;21 Juni 2019;"21 Juni 2019;21 Juni 2019;28 Juli 2022;21 Juni 2019;14 April 2021;21 Juni 2019;20 Juni 2022;20 Juni 2022;14 Juni 2022;13 Juni 2022;21 Juni 2019;30 Maret 2022";21 Juni 2019;1;0;0;0
167;Kapan lionel messi dilahirkan?;24 Juni 1987;"24 Juni 1987;24 Juni 1987;16 November 2003;12 Agustus 2018;1 Juli 2021;10 April 2022;24 Juni 1987;15 Mei 2022;05 Juni 2021;24 Juni 1987;29 November 2003;6 Maret 2004;16 November 2003;16 Oktober 2004;1 Mei 2005;26 September 2005;7 Maret 2006;18 April 2007;1 Oktober 2008;13 Desember 2008;8 April 2009;1 Desember 2009;10 Januari 2010;24 Maret 2010;6 April 2010;3 Juni 2010;21 Agustus 2010;29 Agustus 2010;19 September 2010;12 April 2011;18 Desember 2012;30 Juni 2018;7 Januari 2013;18 Agustus 2013;17 Januari 2021;10 Agustus 2021;23 April 2022;17 Agustus 2005;28 Maret 2009;17 November 2010;15 Mei 2006;29 Juni 2007;30 Juni 2018;27 Juni 1987;2 November 2012;11 Maret 2010;7 Oktober 2012;10 Oktober 2012;10 Oktober 2012;10 Oktober 2012;20 November 2007;14 November 2009;7 September 2010;17 November 2010;15 November 2011;7 September 2012;10 Maret 2007;66 Januari 2009;10 Januari 2010;14 Maret 2010;21 Maret 2010;66 April 2010;21 Agustus 2010;20 November 2010;12 Januari 2011;17 September 2011;24 September 2011;29 Oktober 2011;11 November 2011;22 Januari 2012;77 Maret 2012;20 Maret 2012;22 Mei 2012;55 Mei 2012;99 Juni 2012;15 Juli 2018;11 Juni 2019;15 Juli 2018;19 Juni 2018;13 Oktober 2018;24 Mei 2008;27 Mei 2008;1 Juni 2021;20 Juli 2020;7 Januari 2013;16 Mei 2020;7 April 2010;20 April 2008;4 April 2009;18 September 2009;25 September 2011;25 September 2011;25 September 2011;28 September 2005;26 April 2006;14 November 2006;16 November 2006;13 November 2006;4 April 2009;20 April 2007;18 April 2007;20 April 2007;10 April 2007;29 November 2007;15 September 2013;14 November 2012;15 September 2013;15 September 2013;10 Agustus 2021;11 Agustus 2021;16 September 2021;29 September 2021;29 November 2021;7 September 2012;2 September 2012;21 April 2009;2 November 2012;26 November 2010;9 Mei 2017;13 September 2015;13 Juli 2014;27 Agustus 2015;23 September 2019;23 September 2019;20 Mei 2018;20 Mei 2018;5 Juli 2015;5 Juli 2015;5 Desember 2015;5 Juli 2015;5 Desember 2015;15 Juni 2015;5 Desember 2015;13 September 2015;31 Mei 2021;1 Juni 2021;12 November 2013;13 September 2015;2 Desember 2013;8 Desember 2015;13 September 2015;30 November 2015;22 Maret 2019;24 Oktober 2016;6 Agustus 2019;25 Oktober 2016;19 Mei 2019;8 April 2020;19 Juli 2020;19 Juli 2020;7 April 2015;27 Agustus 2015;23 Desember 2015;8 Januari 2016;20 Desember 2016;21 Desember 2016;20 Desember 2017;26 Januari 2018;11 Januari 2016;24 April 2016;24 Oktober 2017;24 September 2018;11 September 2019;25 September 2018;23 September 2019;17 Desember 2020;18 Desember 2020;17 Juni 2022;24 Juni 1987;1 Mei 2005;17 Agustus 2005;24 Juni 1987;16 Juni 2022;10 Juni 2022;7 Juni 2022;6 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;23 Juni 2022;24 Juni 1987;14 Desember 2000;29 November 2003;6 Maret 2004;16 Oktober 2004;10 Maret 2007;24 Juni 1987;16 Oktober 2004;22 Juni 2022;24 Juni 1987;21 Juni 2022;24 Juni 1987;24 Juni 2021;24 Juni 1987;1 Mei 2005;14 Juni 2021;21 Juni 2022;21 Juni 2022;24 Juni 1987;26 Juni 2020;27 Mei 2020;24 Juni 1987;24 Juni 1987;1 Mei 2005";24 Juni 1987;1;0;0;0
168;Kapan indonesia keluar dari pbb?;1 Januari 1965;"7 Januari 1965;7 Januari 1965;16 September 1960;1 Desember 1964;7 Januari 1965;1 Januari 1965;6 Januari 1965;23 Juni 1596;20 Januari 1965;17 Agustus 1945;27 September 1950;31 Desember 1964;1 Januari 1965;20 Januari 1965;19 September 1966;28 September 1966;7 Januari 2021;24 Oktober 1945;10 Januari 1946;28 September 1950;21 September 1962;1 Oktober 1962;1 Mei 1963;7 Januari 1965;20 Januari 1965;7 Januari 1965;20 Januari 1965;19 September 1966;28 September 1966;21 Juni 2022;6 Desember 2021;16 September 1960;21 Juni 2022;21 Juni 2022;24 Oktober 1945;3 Mei 1964;7 Januari 1965;7 Januari 1965;7 Januari 1965;7 Januari 1965;7 Januari 1965;7 januari 1965;7 Januari 1965;28 september 1950;7 Januari 1965;7 Januari 1965;20 Januari 1965;20 Januari 1965;1 Desember 1964;7 Januari 1965;20 Januari 1965;19 September 1966;28 September 1966;20 Januari 1965";7 Januari 1965;0;0;1;0
169;Kapan raisa menikah?;03-Sep-17;"3 September 2017;3 September 2017;6 Juni 2020;3 September 2017;4 September 2021;3 September 2017;16 Juni 2022;13 Juni 2022;12 Juni 2022;12 Juni 2022;3 Oktober 2020;3 September 2017";03-Sep-17;1;0;0;0
170;Kapan nagita slavina melahirkan anak kedua?;26-Nov-21;"26 November 2021;28 Juli 2022;26 November 2021;20 Juli 2022";26-Nov-21;1;0;0;0
171;Kapan xabiru lahir?;12 Desember 2017;"17 November 2021;12 Desember 2017;17 November 2019;12 Desember 2017;12 Desember 2017;12 Desember 2017;12 Desember 2021;12 Desember 2021;17 November 2021;12 Desember 2017;17 November 2019;12 Desember 2017;17 November 2019;17 November 2019;9 September 2020;12 Desember 2017;17 November 2019;01 Mei 2019;12 Desember 2017";12 Desember 2017;1;0;0;0
